code_of_unit,unit_name,population_total,population_males,population_females,avg_age_total,avg_age_males,avg_age_females,region,date
4101,Aš,17384.0,8509.0,8875.0,38.74833179935573,37.36614173228347,40.07352112676056,Karlovarský kraj,2007-01-01
4102,Cheb,51748.0,25540.0,26208.0,38.63235294117647,37.33116679718089,39.90037393162393,Karlovarský kraj,2007-01-01
4103,Karlovy Vary,88434.0,42894.0,45540.0,40.97221656828822,39.375460437357205,42.47619675010979,Karlovarský kraj,2007-01-01
4104,Kraslice,14059.0,6982.0,7077.0,38.97955046589373,37.70209109137783,40.239861523244315,Karlovarský kraj,2007-01-01
4105,Mariánské Lázně,24603.0,11860.0,12743.0,40.77321871316506,39.005733558178754,42.41822961625991,Karlovarský kraj,2007-01-01
4106,Ostrov,29320.0,14362.0,14958.0,38.44515688949522,37.16202478763403,39.677162722289076,Karlovarský kraj,2007-01-01
4107,Sokolov,79054.0,39154.0,39900.0,38.33238039820882,37.022449813556726,39.61781954887218,Karlovarský kraj,2007-01-01
3101,Blatná,13655.0,6723.0,6932.0,41.15228853899671,39.649040606871935,42.61021350259665,Jihočeský kraj,2007-01-01
3102,České Budějovice,150481.0,73610.0,76871.0,40.25334427602156,38.87301997011276,41.5751128514004,Jihočeský kraj,2007-01-01
3103,Český Krumlov,41341.0,20674.0,20667.0,38.592765051643646,37.57463480700397,39.61124014128804,Jihočeský kraj,2007-01-01
3104,Dačice,20039.0,9975.0,10064.0,39.55803682818504,38.03984962406015,41.06279809220986,Jihočeský kraj,2007-01-01
3105,Jindřichův Hradec,47360.0,23146.0,24214.0,39.88614864864865,38.47636740689536,41.23374907078549,Jihočeský kraj,2007-01-01
3106,Kaplice,19660.0,9811.0,9849.0,37.62914547304171,36.59152991540108,38.662757640369584,Jihočeský kraj,2007-01-01
3107,Milevsko,18933.0,9303.0,9630.0,41.60632229440659,40.154950016123834,43.00841121495327,Jihočeský kraj,2007-01-01
3108,Písek,51349.0,25103.0,26246.0,40.84970496017449,39.252858224116636,42.37700983006934,Jihočeský kraj,2007-01-01
3109,Prachatice,33771.0,16874.0,16897.0,38.676186669035566,37.594998222116864,39.755903414807364,Jihočeský kraj,2007-01-01
3110,Soběslav,22089.0,10848.0,11241.0,40.992598125763955,39.59513274336283,42.34120629837203,Jihočeský kraj,2007-01-01
3111,Strakonice,45011.0,22209.0,22802.0,40.413887716336006,38.98300238641992,41.80756074028594,Jihočeský kraj,2007-01-01
3112,Tábor,80233.0,39316.0,40917.0,40.72109356499196,39.300539220673514,42.08606447197986,Jihočeský kraj,2007-01-01
3113,Trhové Sviny,17797.0,8928.0,8869.0,39.534893521380006,38.140008960573475,40.93905739091217,Jihočeský kraj,2007-01-01
3114,Třeboň,25238.0,12427.0,12811.0,40.7091687138442,39.261969904240765,42.11298883771759,Jihočeský kraj,2007-01-01
3115,Týn nad Vltavou,14045.0,6937.0,7108.0,38.19640441438234,37.056580654461584,39.3088069780529,Jihočeský kraj,2007-01-01
3116,Vimperk,17638.0,8714.0,8924.0,39.77786597119855,38.56036263484049,40.96671896010758,Jihočeský kraj,2007-01-01
3117,Vodňany,11366.0,5558.0,5808.0,39.74106985746965,38.17218423893487,41.24242424242424,Jihočeský kraj,2007-01-01
6201,Blansko,54803.0,26810.0,27993.0,40.552387643012246,39.04248414770608,41.99848176329797,Jihomoravský kraj,2007-01-01
6202,Boskovice,50313.0,24760.0,25553.0,39.775376145330235,38.192366720516965,41.309259186788246,Jihomoravský kraj,2007-01-01
6203,Brno,366680.0,174592.0,192088.0,41.750106359768736,39.864776163856305,43.463714547499066,Jihomoravský kraj,2007-01-01
6204,Břeclav,58651.0,28504.0,30147.0,39.85919251163663,38.09823182711198,41.52418151059807,Jihomoravský kraj,2007-01-01
6205,Bučovice,15740.0,7810.0,7930.0,39.72592121982211,38.1067861715749,41.32055485498108,Jihomoravský kraj,2007-01-01
6206,Hodonín,61711.0,30211.0,31500.0,39.701552397465605,37.90683856873324,41.422825396825395,Jihomoravský kraj,2007-01-01
6207,Hustopeče,34696.0,17064.0,17632.0,39.714001614018905,37.93313408345054,41.4375,Jihomoravský kraj,2007-01-01
6208,Ivančice,23242.0,11489.0,11753.0,39.87328973410206,38.38153886326051,41.331532374712836,Jihomoravský kraj,2007-01-01
6209,Kuřim,19836.0,9710.0,10126.0,39.536852187941115,38.22615859938208,40.793699387714796,Jihomoravský kraj,2007-01-01
6210,Kyjov,56040.0,27601.0,28439.0,40.0884011420414,38.18370711206116,41.936970357607514,Jihomoravský kraj,2007-01-01
6211,Mikulov,19607.0,9531.0,10076.0,39.12268577548834,37.53829608645473,40.621377530766175,Jihomoravský kraj,2007-01-01
6212,Moravský Krumlov,22267.0,11030.0,11237.0,39.9539902097274,38.649864007252944,41.234092729376165,Jihomoravský kraj,2007-01-01
6213,Pohořelice,12523.0,6249.0,6274.0,39.404495727860734,37.722915666506644,41.07937519923494,Jihomoravský kraj,2007-01-01
6214,Rosice,23381.0,11335.0,12046.0,40.309931140669775,38.72973092192325,41.79686202888926,Jihomoravský kraj,2007-01-01
6215,Slavkov u Brna,20694.0,10208.0,10486.0,39.80999323475403,38.15223354231975,41.42380316612626,Jihomoravský kraj,2007-01-01
6216,Šlapanice,56157.0,27649.0,28508.0,40.122469148993005,38.7593945531484,41.44447172723446,Jihomoravský kraj,2007-01-01
6217,Tišnov,27656.0,13610.0,14046.0,40.661194677466014,39.12711241734019,42.14765769614125,Jihomoravský kraj,2007-01-01
6218,Veselí nad Moravou,39540.0,19324.0,20216.0,39.9185128983308,38.17072034775409,41.58918678274634,Jihomoravský kraj,2007-01-01
6219,Vyškov,50669.0,24797.0,25872.0,39.90087627543468,38.460882364802195,41.281037414965986,Jihomoravský kraj,2007-01-01
6220,Znojmo,90318.0,44317.0,46001.0,39.37343608140127,37.73798993614189,40.94901197800048,Jihomoravský kraj,2007-01-01
6221,Židlochovice,28039.0,13801.0,14238.0,39.71099183280431,38.0771320918774,41.294704312403425,Jihomoravský kraj,2007-01-01
4201,Bílina,20679.0,10171.0,10508.0,38.36943275787031,37.13022318356111,39.568899885801294,Ústecký kraj,2008-01-01
4202,Děčín,80370.0,39891.0,40479.0,39.74469329351748,38.21863327567622,41.2485856864053,Ústecký kraj,2008-01-01
4203,Chomutov,81632.0,40112.0,41520.0,38.73079184633477,37.419600119664935,39.99751926782274,Ústecký kraj,2008-01-01
4204,Kadaň,44111.0,21805.0,22306.0,38.58034277164426,37.199380875945884,39.930287814937685,Ústecký kraj,2008-01-01
