municipality_id,municipality,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
3213,Stříbro,16560,16529,16631,16454,16609,16532,16993,17216,17106,17253,16911,16901,16827,16860,16865,16888,16967,17050,17190,17166,16761
7111,Šumperk,73390,73131,72967,72652,72403,72266,72182,72189,72078,71857,71109,70838,70621,70288,69940,69707,69451,69242,68988,68513,67419
3214,Sušice,25131,25024,24969,24938,24960,24974,24975,25025,24972,24948,24705,24579,24547,24448,24361,24293,24199,24164,24150,24038,23451
6111,Světlá nad Sázavou,20770,20643,20515,20406,20333,20325,20342,20262,20201,20141,20136,20134,20054,20006,19892,19840,19771,19759,19690,19571,19340
5312,Svitavy,31764,31693,31682,31682,31652,31667,31727,31809,31766,31781,31801,31762,31692,31715,31620,31589,31530,31424,31379,31305,30876
3112,Tábor,80647,80504,80321,80197,80137,80233,80482,80623,80782,80833,80641,80612,80553,80481,80412,80329,80374,80583,80648,80489,79436
3215,Tachov,34681,34800,34942,34950,35140,35285,35732,36178,36119,36154,36214,36148,36004,36008,35972,36117,36314,36537,37146,37223,36180
5108,Tanvald,22044,21989,21874,21843,21872,21895,21878,21979,21966,21905,21455,21291,21080,20903,20806,20617,20508,20460,20412,20274,19919
6112,Telč,13779,13729,13657,13581,13523,13469,13455,13487,13490,13492,13257,13259,13156,13153,13088,13040,12981,12948,12975,12946,12809
4213,Teplice,105615,106125,106613,107087,107046,107341,108523,109192,109056,109088,107646,107439,107006,106732,106321,105930,105797,106068,106472,106322,105072
6217,Tišnov,27155,27192,27335,27417,27520,27656,28141,28549,28801,29066,29491,29778,29996,30248,30553,30836,31167,31482,31725,31895,31853
6113,Třebíč,76467,76374,76237,76230,76135,76221,76309,76251,76163,75987,75888,75651,75421,75333,75216,75015,74805,74494,74272,74004,73157
3114,Třeboň,25350,25370,25260,25145,25239,25238,25331,25379,25378,25328,25089,25026,24932,24824,24772,24797,24750,24720,24796,24669,24426
3113,Trhové Sviny,17226,17342,17505,17575,17688,17797,17998,18148,18244,18391,18488,18563,18654,18747,18815,18871,18969,19120,19267,19349,19234
