"","year","ico","lt_tangible_assets_CZK"
"1157",2012,286745,855543773.61
"1158",2012,283061,1774638776.17
"1159",2012,283347,649999499.53
"1160",2012,283193,450002658.7
"1161",2012,279978,1105130993.99
"1162",2012,279943,1594524567.27
"1163",2012,295841,1982830473.83
"1164",2012,295671,1036177663.89
"1165",2012,294136,1397198056.51
"1166",2012,285030,900429657.05
"1167",2012,284891,1894818183.03
"1168",2012,285455,1099872259.5
"1169",2012,294900,553811005.75
"1170",2012,291676,494247670.22
"1171",2012,44992785,46214755234.83
"1172",2012,293881,2576481698.71
"1173",2012,293199,220410102.56
"1174",2012,292427,1172962269.77
"1175",2012,292311,650988048.35
"1176",2012,302724,693286991.82
"1177",2012,282481,310580907.62
"1178",2012,282979,285084971.8
"1179",2012,281964,753651988.13
"1180",2012,282651,601016910.29
"1181",2012,283509,514300689.65
"1182",2012,282707,586117709.13
"1183",2012,281859,734523339.81
"1184",2012,303038,912327416.95
"1185",2012,303640,678061994.36
"1186",2012,299138,1031918707.66
"1187",2012,301311,1036521340.35
"1188",2012,299634,1466430680.53
"1189",2012,301493,476175792.53
"1190",2012,303461,2125872274.81
"1191",2012,299308,13056276868.86
"1192",2012,299529,1026037037.19
"1193",2012,288659,3653462419.4
"1194",2012,288365,375065565.41
"1195",2012,301825,2280685105.4
"1196",2012,304450,1815903561.31
"1197",2012,304387,2286952084.78
"1198",2012,287351,1787249288.42
"1199",2012,304271,745282750.37
"1200",2012,287113,655456542.53
"1201",2012,284301,1425421075.2
"1202",2012,284611,539385282.82
"1203",2012,284653,141166157.42
"1204",2012,284165,1260758513.08
"1205",2012,291463,2176469192.65
"1206",2012,291471,2917285210.51
"1207",2012,287172,930040578.55
"1208",2012,283924,7963022835.85
"1209",2012,295892,1116889806.18
"1210",2012,296317,1007552462.97
"1211",2012,297534,3710537037.87
"1212",2012,297488,4184501026.08
"1213",2012,296139,1788383713.32
"1214",2012,297569,1535090971.65
"1215",2012,297437,1140816317.43
"1216",2012,297577,1244463465.78
"1217",2012,845451,37456693358.64
"1218",2012,296651,456139404.35
"1219",2012,296759,480713742.42
"1220",2012,297852,873938837.45
"1221",2012,297313,2589030088.84
"1222",2012,297755,490521353.04
"1223",2012,298077,1546623828.63
"1224",2012,298212,1855541472.56
"1225",2012,298221,772382962.09
"1226",2012,300063,539724730.34
"1227",2012,296643,2697928101.75
"1228",2012,300870,482298424.36
"1229",2012,300535,5956825616.81
"1230",2012,300292,714616254.2
"1231",2013,233129,1553804644.21
"1232",2013,232947,1231337075.04
"1233",2013,232963,432282272.18
"1234",2013,234877,2012096649.35
"1235",2013,231401,3308183111.94
"1236",2013,233242,380771352.36
"1237",2013,235334,407607982.57
"1238",2013,235440,5486866378.29
"1239",2013,236021,2051862808.74
"1240",2013,236195,1843627448.79
"1241",2013,234516,5780060295.12
"1242",2013,238295,3910279855.76
"1243",2013,236977,1335147907.07
"1244",2013,237051,2287110224.58
"1245",2013,237108,1098323729.04
"1246",2013,238309,782169695.75
"1247",2013,239402,1143771730.21
"1248",2013,239500,1351060823.98
"1249",2013,240079,1957636617.04
"1250",2013,240702,2054663344.22
"1251",2013,239640,1729652525.14
"1252",2013,241121,592762173.49
"1253",2013,242098,831947014.27
"1254",2013,244309,1644327255.36
"1255",2013,243132,3509400868.85
"1256",2013,243272,864114812.65
"1257",2013,245585,755353671.71
"1258",2013,247618,2199946945.07
"1259",2013,244732,8677485656.68
"1260",2013,246875,2472738231.72
"1261",2013,245551,393528721.24
"1262",2013,246476,600112394.57
"1263",2013,245836,1494552660.76
"1264",2013,245941,721966087.85
"1265",2013,249831,721084822.68
"1266",2013,249998,4310313949.59
"1267",2013,250627,1710811252.15
"1268",2013,250805,1047430215.65
"1269",2013,251984,693618600.73
"1270",2013,251810,3050839601.83
"1271",2013,250996,574880840.52
"1272",2013,252921,807248260.74
"1273",2013,253383,762025805.07
"1274",2013,254061,1446491131.8
"1275",2013,253901,637269964.5
"1276",2013,253979,3055339898.38
"1277",2013,254843,1928354694.76
"1278",2013,253316,3013733722.44
"1279",2013,253014,4171079283.25
"1280",2013,256129,1587769647.59
"1281",2013,75370,25421226771.94
"1282",2013,254657,9756221274.34
"1283",2013,255513,956275249.16
"1284",2013,255661,2865535171.28
"1285",2013,256455,491631636.68
"1286",2013,257125,869885113.77
"1287",2013,257265,452472184.26
"1288",2013,259047,1749362412.18
"1289",2013,256986,578710276.69
"1290",2013,257966,370499505.45
"1291",2013,258199,427447860.05
"1292",2013,260177,1043680201.81
"1293",2013,260231,2452919941.69
"1294",2013,259438,239348894.03
"1295",2013,259586,1786741218.8
"1296",2013,261238,3834456937.35
"1297",2013,263958,2315008141.34
"1298",2013,261912,2019592346.43
"1299",2013,261891,4416443630.14
"1300",2013,264334,563886745.89
"1301",2013,261602,819781007.67
"1302",2013,261718,1050211463.13
"1303",2013,263991,769174292.78
"1304",2013,266094,6466788160.43
"1305",2013,266230,770731091.93
"1306",2013,265209,1041201411.18
"1307",2013,265365,760969727.32
"1308",2013,265781,1426871790.13
"1309",2013,266027,1798536362.08
"1310",2013,266621,1992325613
"1311",2013,81531,3714016043.45
"1312",2014,253901,728556704.04
"1313",2014,253979,3074260445.99
"1314",2014,254061,1462166139.71
"1315",2014,254843,2002388549.75
"1316",2014,254657,9777357625.23
"1317",2014,259438,247220226.75
"1318",2014,259586,1959418270.11
"1319",2014,260428,3080582771
"1320",2014,260771,997647500.72
"1321",2014,262340,3811475146.01
"1322",2014,262587,437592359.53
"1323",2014,262633,587341011.46
"1324",2014,262781,613878870.9
"1325",2014,262978,10293086507.05
"1326",2014,275808,540804693.6
"1327",2014,276227,977410949.4
"1328",2014,276111,493265840.18
"1329",2014,261718,1093221223.38
"1330",2014,261602,866349352.97
"1331",2014,261238,3921756064.09
"1332",2014,261912,2088892849.16
"1333",2014,261891,4444732246.15
"1334",2014,263958,2431142278.97
"1335",2014,264334,598743878.47
"1336",2014,263991,839388398.68
"1337",2014,265781,1442830897.19
"1338",2014,265209,1139183943.12
"1339",2014,265365,767782260.6
"1340",2014,266027,1868426935.72
"1341",2014,266094,6474558577.25
"1342",2014,266230,845639044.8
"1343",2014,266621,2032338471
"1344",2014,81531,3813308380.26
"1345",2014,245585,835801701.53
"1346",2014,245836,1562691645.12
"1347",2014,245941,801241439.65
"1348",2014,245551,410475889.45
"1349",2014,244732,8934883961.15
"1350",2014,246476,626325606.56
"1351",2014,246875,2556982946.46
"1352",2014,249831,764310134.95
"1353",2014,249998,4338968878.22
"1354",2014,247618,2184377230.03
"1355",2014,250805,1102728389.75
"1356",2014,250627,1755285103.37
"1357",2014,251984,711990857.43
"1358",2014,250996,541682991.74
"1359",2014,251810,3159708233.5
"1360",2014,253383,765066282.34
"1361",2014,252921,812128319.86
"1362",2014,253014,4527714929.91
"1363",2014,253316,3045412624.35
"1364",2014,257966,406567139.37
"1365",2014,256986,591281463.02
"1366",2014,258199,439648538.57
"1367",2014,256129,1669703719.67
"1368",2014,255513,972593844.72
"1369",2014,255661,3021744654.69
"1370",2014,75370,26961230310.4
"1371",2014,256455,514160725.62
"1372",2014,257125,858498219.28
"1373",2014,257265,458448604.02
"1374",2014,231401,3588387574.73
"1375",2014,233242,387450812.83
"1376",2014,259047,1808173255.08
"1377",2014,260177,1004566705.26
"1378",2014,260231,2564593808.37
"1379",2014,232947,1365460485.19
"1380",2014,232963,511073734.37
"1381",2014,234877,2031440954.78
"1382",2014,233129,1609476035.39
"1383",2014,235440,5581137896.27
"1384",2014,235334,731048384.95
"1385",2014,234516,6143515729.97
"1386",2014,236977,1397131844
"1387",2014,237051,2307457066.18
"1388",2014,237108,1194996216.28
"1389",2014,236021,2073487498.08
"1390",2014,236195,1837163305.77
"1391",2014,239500,1400079254.55
"1392",2014,238295,4279860847.02
"1393",2014,239402,1165830519.2
"1394",2014,238309,790854638.44
"1395",2014,240702,2124682273.72
"1396",2014,240079,1974849048.69
"1397",2014,239640,1861278825
"1398",2014,241121,635433983.95
"1399",2014,244309,1611978080.66
"1400",2014,242098,826628198.19
"1401",2014,243132,3488604204.96
"1402",2014,243272,1121302419.84
"1403",2015,253901,801067776.96
"1404",2015,253979,3254428871.37
"1405",2015,254061,1476267973.23
"1406",2015,254843,2081742672.65
"1407",2015,254657,9938366370.68
"1408",2015,259438,246117365.32
"1409",2015,259586,2033843567.09
"1410",2015,260428,3081106711.49
"1411",2015,262340,3874397459.88
"1412",2015,260771,1001703366.49
"1413",2015,262587,441348573.18
"1414",2015,262781,618875989.78
"1415",2015,262633,601776734.91
"1416",2015,262978,10256249040.97
"1417",2015,275808,532785300.63
"1418",2015,276227,992059627.9
"1419",2015,276111,528063618.63
"1420",2015,253316,2986969533.44
"1421",2015,253383,770543215.84
"1422",2015,255513,983758300.57
"1423",2015,255661,3109235806.39
"1424",2015,256129,1694365044.49
"1425",2015,75370,27334127926.33
"1426",2015,256455,514211043.94
"1427",2015,257265,464027021.1
"1428",2015,257125,862424449.39
"1429",2015,257966,420843537.2
"1430",2015,258199,448071390.63
"1431",2015,256986,618539256.28
"1432",2015,259047,1833874822.69
"1433",2015,260177,1019359030.88
"1434",2015,260231,2596395461.61
"1435",2015,245585,849007024.19
"1436",2015,244732,8913777351.64
"1437",2015,245551,419443649.98
"1438",2015,245836,1837351442.45
"1439",2015,245941,922134100.31
"1440",2015,246476,675006309.63
"1441",2015,246875,2681622189.39
"1442",2015,249831,771477845.49
"1443",2015,249998,4355144275.01
"1444",2015,247618,2278571948.76
"1445",2015,250627,1775152687.16
"1446",2015,250805,1091587992.1
"1447",2015,261718,1119182957.52
"1448",2015,261602,864025945.1
"1449",2015,251984,739971158.52
"1450",2015,261238,3982664754.72
"1451",2015,261912,2110106247.56
"1452",2015,264334,590315715.23
"1453",2015,261891,4443073749.22
"1454",2015,252921,833347471.74
