ico,municipality_id,municipality,date,year,EU_fund_total_CZK,Tax_revenue_CZK,Capital_revenue_CZK,Non_tax_revenue_CZK,lt_tangible_assets_CZK,Saldo_CZK,population_total,unemployment
251984,3117,Vodňany,2015-12-31,2015,1872.0135337634408,8171.541716989247,273.40894623655913,1805.1789815053764,63653.43299096774,-784.5761789247294,11625,6.63
251984,3117,Vodňany,2016-12-31,2016,0,8732.730211129156,1119.1688178476793,1565.6218582784854,65065.766270621425,1721.9699623899478,11699,4.82
251984,3117,Vodňany,2017-12-31,2017,2315.8142005466348,9970.931829518278,1759.713785445849,1950.5763717116502,65552.99448582166,2050.2514477280492,11708,3.25
251984,3117,Vodňany,2018-12-31,2018,25.50801732925586,10964.507632517838,183.37311416921506,2278.6648530411144,69930.62403924567,-1862.9347290180174,11772,2.9
251984,3117,Vodňany,2019-12-31,2019,2116.3747395000423,11260.094223550206,336.53854052689167,2070.5187021294505,72685.26941082401,2699.8304250483966,11881,2.39
251984,3117,Vodňany,2020-12-31,2020,361.16635700511443,10972.504532573153,812.0809088622453,2377.0835356753582,74818.18804896454,1843.3141879768593,11927,3.14
252921,3110,Soběslav,2007-12-31,2007,0,3143.193847545804,22.515268038905226,854.2031214657318,37240.432028952724,346.66817462112647,22105,3.69
252921,3110,Soběslav,2008-12-31,2008,2859.1905664635524,3487.104942450914,741.3662830060935,826.8088467614534,37150.568720379146,1026.4883773414579,22155,4.34
252921,3110,Soběslav,2009-12-31,2009,0,3024.2981154140243,253.6846129627131,1158.4995277290514,38261.187873881165,-1510.1003013538434,22233,7.33
252921,3110,Soběslav,2010-12-31,2010,0,3210.452819956616,185.90880332610269,1058.3563810556761,39761.70462762111,832.65003615329,22128,8
252921,3110,Soběslav,2011-12-31,2011,27.116192886518732,3143.754258146156,704.8871062502825,1036.1827839291363,34778.514054322775,-636.3851547882678,22127,7.49
252921,3110,Soběslav,2012-12-31,2012,0,3266.5747120656065,274.6439218884509,898.1518870916588,36688.80052104571,660.3326025100811,22071,7.55
252921,3110,Soběslav,2013-12-31,2013,62.08976335116511,4030.740217608124,68.2716492882401,920.1510599329041,36596.62076072174,808.3394618732433,22058,7.61
252921,3110,Soběslav,2014-12-31,2014,0,4271.495574307419,15.808852294955193,957.8800345721694,36943.47085748078,540.9386644225083,21983,7.67
