"year","municipality_id","municipality_name","vote_percentage","party_id","party_name","party_name_short","winer","coallition"
2010,5202,"Dobruška",20.15,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5203,"Dvůr Králové nad Labem",24.37,53,"Občanská demokratická strana","ODS",0,1
2010,5204,"Hořice",22.1,53,"Občanská demokratická strana","ODS",0,1
2010,5205,"Hradec Králové",25.42,721,"TOP 09","TOP 09",0,1
2010,5206,"Jaroměř",20.95,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5207,"Jičín",20.19,721,"TOP 09","TOP 09",0,1
2010,5208,"Kostelec nad Orlicí",22.21,53,"Občanská demokratická strana","ODS",0,1
2010,5209,"Náchod",20.93,53,"Občanská demokratická strana","ODS",0,1
2010,5210,"Nová Paka",28.63,721,"TOP 09","TOP 09",0,1
2010,5211,"Nové Město nad Metují",23.42,53,"Občanská demokratická strana","ODS",0,1
2010,5212,"Nový Bydžov",23.3,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5213,"Rychnov nad Kněžnou",20.81,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5214,"Trutnov",23.75,53,"Občanská demokratická strana","ODS",0,1
2010,5215,"Vrchlabí",22.98,53,"Občanská demokratická strana","ODS",0,1
2010,5301,"Česká Třebová",26.66,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5302,"Hlinsko",27.75,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5303,"Holice",22.23,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5304,"Chrudim",22.29,53,"Občanská demokratická strana","ODS",0,1
2010,5305,"Králíky",26.87,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5306,"Lanškroun",22.9,53,"Občanská demokratická strana","ODS",0,1
2010,5307,"Litomyšl",25.2,53,"Občanská demokratická strana","ODS",0,1
2010,5308,"Moravská Třebová",30.18,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5309,"Pardubice",22.28,53,"Občanská demokratická strana","ODS",0,1
2010,5310,"Polička",25.24,53,"Občanská demokratická strana","ODS",0,1
2010,5311,"Přelouč",22.67,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5312,"Svitavy",27.96,7,"Česká strana sociálně demokratická","ČSSD",1,0
2010,5313,"Ústí nad Orlicí",21.95,53,"Občanská demokratická strana","ODS",0,1
2010,5314,"Vysoké Mýto",21.77,53,"Občanská demokratická strana","ODS",0,1
2010,5315,"Žamberk",23.15,53,"Občanská demokratická strana","ODS",0,1
