"","municipality_id","municipality","district_id","distric","NUTS_3_id","NUTS_3","NUTS_2_id","NUTS_2","ico","name"
"139",2120,"Příbram","CZ020B","Příbram","CZ020","Středočeský kraj","CZ02","Střední Čechy","00243132","Město Příbram"
"140",7108,"Prostějov","CZ0713","Prostějov","CZ071","Olomoucký kraj","CZ07","Střední Morava","00288659","Statutární město Prostějov"
"141",2121,"Rakovník","CZ020C","Rakovník","CZ020","Středočeský kraj","CZ02","Střední Čechy","00244309","Město Rakovník"
"142",2122,"Říčany","CZ0209","Praha-východ","CZ020","Středočeský kraj","CZ02","Střední Čechy","00240702","Město Říčany"
"143",3211,"Rokycany","CZ0326","Rokycany","CZ032","Plzeňský kraj","CZ03","Jihozápad","00259047","Město Rokycany"
"144",6214,"Rosice","CZ0643","Brno-venkov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00282481","Město Rosice"
"145",4211,"Roudnice nad Labem","CZ0423","Litoměřice","CZ042","Ústecký kraj","CZ04","Severozápad","00264334","Město Roudnice nad Labem"
"146",7206,"Rožnov pod Radhoštěm","CZ0723","Vsetín","CZ072","Zlínský kraj","CZ07","Střední Morava","00304271","Město Rožnov pod Radhoštěm"
"147",4212,"Rumburk","CZ0421","Děčín","CZ042","Ústecký kraj","CZ04","Severozápad","00261602","Město Rumburk"
"148",5213,"Rychnov nad Kněžnou","CZ0524","Rychnov nad Kněžnou","CZ052","Královéhradecký kraj","CZ05","Severovýchod","00275336","Město Rychnov nad Kněžnou"
"149",8120,"Rýmařov","CZ0801","Bruntál","CZ080","Moravskoslezský kraj","CZ08","Moravskoslezsko","00296317","Město Rýmařov"
"150",2123,"Sedlčany","CZ020B","Příbram","CZ020","Středočeský kraj","CZ02","Střední Čechy","00243272","Město Sedlčany"
"151",5107,"Semily","CZ0514","Semily","CZ051","Liberecký kraj","CZ05","Severovýchod","00276111","Město Semily"
"152",2124,"Slaný","CZ0203","Kladno","CZ020","Středočeský kraj","CZ02","Střední Čechy","00234877","Město Slaný"
"153",6216,"Šlapanice","CZ0643","Brno-venkov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00282651","Město Šlapanice"
"154",6215,"Slavkov u Brna","CZ0646","Vyškov","CZ064","Jihomoravský kraj","CZ06","Jihovýchod","00292311","Město Slavkov u Brna"
"155",3110,"Soběslav","CZ0317","Tábor","CZ031","Jihočeský kraj","CZ03","Jihozápad","00252921","Město Soběslav"
"156",4107,"Sokolov","CZ0413","Sokolov","CZ041","Karlovarský kraj","CZ04","Severozápad","00259586","Město Sokolov"
"157",7110,"Šternberk","CZ0712","Olomouc","CZ071","Olomoucký kraj","CZ07","Střední Morava","00299529","Město Šternberk"
"158",3212,"Stod","CZ0324","Plzeň-jih","CZ032","Plzeňský kraj","CZ03","Jihozápad","00257265","Město Stod"
"159",3111,"Strakonice","CZ0316","Strakonice","CZ031","Jihočeský kraj","CZ03","Jihozápad","00251810","Město Strakonice"
"160",3213,"Stříbro","CZ0327","Tachov","CZ032","Plzeňský kraj","CZ03","Jihozápad","00260177","Město Stříbro"
"161",7111,"Šumperk","CZ0715","Šumperk","CZ071","Olomoucký kraj","CZ07","Střední Morava","00303461","Město Šumperk"
"162",3214,"Sušice","CZ0322","Klatovy","CZ032","Plzeňský kraj","CZ03","Jihozápad","00256129","Město Sušice"
"163",6111,"Světlá nad Sázavou","CZ0631","Havlíčkův Brod","CZ063","Kraj Vysočina","CZ06","Jihovýchod","00268321","Město Světlá nad Sázavou"
"164",5312,"Svitavy","CZ0533","Svitavy","CZ053","Pardubický kraj","CZ05","Severovýchod","00277444","Město Svitavy"
"165",3112,"Tábor","CZ0317","Tábor","CZ031","Jihočeský kraj","CZ03","Jihozápad","00253014","Město Tábor"
