ID,IČO,Název,Od,Do,DIČ,Adresa,Ulice,PSČ,Sídlo,Zřizovatel,Počet obyvatel,Kraj,Obec,Základní územní jednotka ,Datum vzniku,Kapitola ID,Druh ÚJ ,NACE,NUTS,COFOG,municipality
4.51651016311093E+018,00583316,Obec Nové Hutě,44562,2958465,CZ00583316,"Nové Hutě 106, 385 01 Vimperk",Nové Hutě 106,385 01,Vimperk,00583316,88,CZ031,Nové Hutě,561568,33604,0,4,84110,CZ0315,0,
1.83450446730515E+018,00534919,Obec Nové Lublice,44562,2958465,CZ00534919,"Nové Lublice, 749 01 Vítkov",Nové Lublice ,749 01,Vítkov,00534919,190,CZ080,Nové Lublice,512893,33175,0,4,84110,CZ0805,0,
8.30827727783583E+018,00269239,Obec Nové Město,44562,2958465,CZ00269239,"Nové Město, 503 51 Chlumec nad Cidlinou",Nové Město ,503 51,Chlumec nad Cidlinou,00269239,417,CZ052,Nové Město,570494,26846,0,4,84110,CZ0521,0,
8.48731462357292E+018,00257052,Obec Nové Mitrovice,44562,2958465,CZ00257052,335 63 Nové Mitrovice 116, ,335 63,Nové Mitrovice 116,00257052,345,CZ032,Nové Mitrovice,558176,26846,0,4,84110,CZ0324,0,
3.6395931027047E+018,00294900,Město Nové Město na Moravě,44562,2958465,CZ00294900,"Vratislavovo náměstí 103, 592 31 Nové Město na Moravě",Vratislavovo náměstí 103,592 31,Nové Město na Moravě,00294900,10006,CZ063,Nové na Moravě,596230,33208,0,4,84110,CZ0635,0,
6.07610760224909E+018,00272876,Město Nové Město nad Metují,44562,2958465,CZ00272876,"nám. Republiky 6, 549 01 Nové Město nad Metují",nám. Republiky 6,549 01,Nové Město nad Metují,00272876,9317,CZ052,Nové nad Metují,574279,26846,0,4,84110,CZ0523,0,
4.14677390011442E+018,00263036,Město Nové Město pod Smrkem,44562,2958465,CZ00263036,"Palackého 280, 463 65 Nové Město pod Smrkem",Palackého 280,463 65,Nové Město pod Smrkem,00263036,3704,CZ051,Nové pod Smrkem,564265,26846,0,4,84110,CZ0513,0,
1.35362907099821E+018,00842168,Obec Nové Sady,44562,2958465,CZ00842168,"Nové Sady, 595 01 Velká Bíteš",Nové Sady ,595 01,Velká Bíteš,00842168,255,CZ063,Nové Sady,596248,33604,0,4,84110,CZ0635,0,
6.11242481171127E+018,00373532,Obec Nové Sady,44562,2958465,CZ00373532,"Nové Sady 5, 683 08 Studnice",Nové Sady 5,683 08,Studnice,00373532,101,CZ064,Nové Sady,593443,33201,0,4,84110,CZ0646,0,
1.1326633587419E+018,66144540,Obec Nové Sedlice,44562,2958465,CZ66144540,"Záhumenní 85, 747 06 Opava 6",Záhumenní 85,747 06,Opava 6,66144540,490,CZ080,Nové Sedlice,555274,35796,0,4,84110,CZ0805,0,
1.8626606218249E+018,00265292,Obec Nové Sedlo,44562,2958465,CZ00265292,"Hlavní 27, 438 01 Žatec",Hlavní 27,438 01,Žatec,00265292,610,CZ042,Nové Sedlo,566519,26846,0,4,84110,CZ0424,0,
6.92241013494663E+018,00259527,Město Nové Sedlo,44562,2958465,CZ00259527,"Masarykova 502, 357 34 Nové Sedlo",Masarykova 502,357 34,Nové Sedlo,00259527,2612,CZ041,Nové Sedlo,560570,26846,0,4,84110,CZ0413,0,
4.12116058413918E+018,00244155,Město Nové Strašecí,44562,2958465,CZ00244155,"Komenského nám. 201, 271 01 Nové Strašecí",Komenského nám. 201,271 01,Nové Strašecí,00244155,5602,CZ020,Nové Strašecí,542164,26846,0,4,84110,CZ020C,0,
2.19529661048566E+018,00290009,Obec Nové Syrovice,44562,2958465,CZ00290009,675 41 Nové Syrovice 2, ,675 41,Nové Syrovice 2,00290009,905,CZ063,Nové Syrovice,591254,29221,0,4,84110,CZ0634,0,
1.96218449558156E+018,00294926,Městys Nové Veselí,44562,2958465,CZ00294926,"Na Městečku 114, 592 14 Nové Veselí",Na Městečku 114,592 14,Nové Veselí,00294926,1352,CZ063,Nové Veselí,596256,29221,0,4,84110,CZ0635,0,
