municipality_id,municipality,district_id,distric,NUTS_3_id,NUTS_3,NUTS_2_id,NUTS_2
6113,Třebíč,CZ0634,Třebíč,CZ063,Kraj Vysočina,CZ06,Jihovýchod
3114,Třeboň,CZ0313,Jindřichův Hradec,CZ031,Jihočeský kraj,CZ03,Jihozápad
3113,Trhové Sviny,CZ0311,České Budějovice,CZ031,Jihočeský kraj,CZ03,Jihozápad
8121,Třinec,CZ0802,Frýdek-Místek,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
5214,Trutnov,CZ0525,Trutnov,CZ052,Královéhradecký kraj,CZ05,Severovýchod
5109,Turnov,CZ0513,Liberec,CZ051,Liberecký kraj,CZ05,Severovýchod
3115,Týn nad Vltavou,CZ0311,České Budějovice,CZ031,Jihočeský kraj,CZ03,Jihozápad
7207,Uherské Hradiště,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,CZ07,Střední Morava
7208,Uherský Brod,CZ0722,Uherské Hradiště,CZ072,Zlínský kraj,CZ07,Střední Morava
7112,Uničov,CZ0712,Olomouc,CZ071,Olomoucký kraj,CZ07,Střední Morava
4214,Ústí nad Labem,CZ0427,Ústí nad Labem,CZ042,Ústecký kraj,CZ04,Severozápad
5313,Ústí nad Orlicí,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
7209,Valašské Klobouky,CZ0724,Zlín,CZ072,Zlínský kraj,CZ07,Střední Morava
7210,Valašské Meziříčí,CZ0723,Vsetín,CZ072,Zlínský kraj,CZ07,Střední Morava
4215,Varnsdorf,CZ0421,Děčín,CZ042,Ústecký kraj,CZ04,Severozápad
6114,Velké Meziříčí,CZ0635,Žďár nad Sázavou,CZ063,Kraj Vysočina,CZ06,Jihovýchod
6218,Veselí nad Moravou,CZ0645,Hodonín,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
3116,Vimperk,CZ0315,Prachatice,CZ031,Jihočeský kraj,CZ03,Jihozápad
8122,Vítkov,CZ0805,Opava,CZ080,Moravskoslezský kraj,CZ08,Moravskoslezsko
7211,Vizovice,CZ0724,Zlín,CZ072,Zlínský kraj,CZ07,Střední Morava
2125,Vlašim,CZ0201,Benešov,CZ020,Středočeský kraj,CZ02,Střední Čechy
3117,Vodňany,CZ0316,Strakonice,CZ031,Jihočeský kraj,CZ03,Jihozápad
2126,Votice,CZ0201,Benešov,CZ020,Středočeský kraj,CZ02,Střední Čechy
5215,Vrchlabí,CZ0525,Trutnov,CZ052,Královéhradecký kraj,CZ05,Severovýchod
7212,Vsetín,CZ0723,Vsetín,CZ072,Zlínský kraj,CZ07,Střední Morava
6219,Vyškov,CZ0646,Vyškov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
5314,Vysoké Mýto,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
7113,Zábřeh,CZ0715,Šumperk,CZ071,Olomoucký kraj,CZ07,Střední Morava
5315,Žamberk,CZ0534,Ústí nad Orlicí,CZ053,Pardubický kraj,CZ05,Severovýchod
4216,Žatec,CZ0424,Louny,CZ042,Ústecký kraj,CZ04,Severozápad
6115,Žďár nad Sázavou,CZ0635,Žďár nad Sázavou,CZ063,Kraj Vysočina,CZ06,Jihovýchod
5110,Železný Brod,CZ0512,Jablonec nad Nisou,CZ051,Liberecký kraj,CZ05,Severovýchod
6221,Židlochovice,CZ0643,Brno-venkov,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
7213,Zlín,CZ0724,Zlín,CZ072,Zlínský kraj,CZ07,Střední Morava
6220,Znojmo,CZ0647,Znojmo,CZ064,Jihomoravský kraj,CZ06,Jihovýchod
