"year","ico","class_of_revenue","Revenue_CZK"
"2010","00296643","Kapitálové příjmy",69957440
"2010","00296643","Nedaňové příjmy",180447970
"2010","00296651","Daňové příjmy",94180450
"2010","00296651","Kapitálové příjmy",12111050
"2010","00296651","Nedaňové příjmy",18881830
"2010","00296759","Daňové příjmy",53679770
"2010","00296759","Kapitálové příjmy",10428660
"2010","00296759","Nedaňové příjmy",11531820
"2010","00297313","Daňové příjmy",411732620
"2010","00297313","Kapitálové příjmy",3861670
"2010","00297313","Nedaňové příjmy",113133690
"2010","00297437","Daňové příjmy",247743800
"2010","00297437","Kapitálové příjmy",18441820
"2010","00297437","Nedaňové příjmy",45008540
"2010","00297488","Daňové příjmy",902627770
"2010","00297488","Kapitálové příjmy",16963110
"2010","00297488","Nedaňové příjmy",54878370
"2010","00297534","Daňové příjmy",803583040
"2010","00297534","Kapitálové příjmy",535445250
"2010","00297534","Nedaňové příjmy",140705120
"2010","00297569","Daňové příjmy",213517410
"2010","00297569","Kapitálové příjmy",15263140
"2010","00297569","Nedaňové příjmy",272692040
"2010","00297577","Daňové příjmy",298578400
"2010","00297577","Kapitálové příjmy",15487920
"2010","00297577","Nedaňové příjmy",71634400
"2010","00297755","Daňové příjmy",69255580
"2010","00297755","Kapitálové příjmy",10218230
"2010","00297755","Nedaňové příjmy",46704820
"2010","00297852","Daňové příjmy",107980530
"2010","00297852","Kapitálové příjmy",7181000
"2010","00297852","Nedaňové příjmy",54048320
"2010","00298077","Daňové příjmy",225216860
"2010","00298077","Kapitálové příjmy",54081340
"2010","00298077","Nedaňové příjmy",34145990
"2010","00298212","Daňové příjmy",252737110
"2010","00298212","Kapitálové příjmy",7001480
"2010","00298212","Nedaňové příjmy",83022970
"2010","00298221","Daňové příjmy",66241070
"2010","00298221","Kapitálové příjmy",3883700
"2010","00298221","Nedaňové příjmy",10597450
"2010","00299138","Daňové příjmy",102753390
"2010","00299138","Kapitálové příjmy",4533470
"2010","00299138","Nedaňové příjmy",40736690
"2010","00299308","Daňové příjmy",1337614810
"2010","00299308","Nedaňové příjmy",66191860
"2010","00299529","Daňové příjmy",133871230
"2010","00299529","Kapitálové příjmy",45433520
"2010","00299529","Nedaňové příjmy",17819520
"2010","00299634","Daňové příjmy",117078600
"2010","00299634","Kapitálové příjmy",18219180
"2010","00299634","Nedaňové příjmy",18021220
"2010","00300063","Daňové příjmy",135439690
"2010","00300063","Kapitálové příjmy",35835840
"2010","00300063","Nedaňové příjmy",29102960
"2010","00300292","Daňové příjmy",61248140
"2010","00300292","Kapitálové příjmy",1856400
"2010","00300292","Nedaňové příjmy",24764880
"2010","00300535","Daňové příjmy",707859530
"2010","00300535","Kapitálové příjmy",83983010
"2010","00300535","Nedaňové příjmy",147605810
"2010","00300870","Daňové příjmy",56779360
"2010","00300870","Kapitálové příjmy",13052830
"2010","00300870","Nedaňové příjmy",21778180
"2010","00301311","Daňové příjmy",197409680
"2010","00301311","Kapitálové příjmy",7273720
"2010","00301311","Nedaňové příjmy",27223040
"2010","00301493","Daňové příjmy",84647290
"2010","00301493","Kapitálové příjmy",7481430
"2010","00301493","Nedaňové příjmy",28162300
"2010","00301825","Daňové příjmy",512521590
"2010","00301825","Kapitálové příjmy",97674340
"2010","00301825","Nedaňové příjmy",140703920
"2010","00302724","Daňové příjmy",121672930
"2010","00302724","Kapitálové příjmy",26431570
"2010","00302724","Nedaňové příjmy",43894770
"2010","00303038","Daňové příjmy",94707690
"2010","00303038","Kapitálové příjmy",331750
"2010","00303038","Nedaňové příjmy",12715720
"2010","00303461","Daňové příjmy",287186590
"2010","00303461","Kapitálové příjmy",50748500
"2010","00303461","Nedaňové příjmy",82021290
"2010","00303640","Daňové příjmy",133913130
"2010","00303640","Kapitálové příjmy",9010510
"2010","00303640","Nedaňové příjmy",11701540
"2010","00304271","Daňové příjmy",164804580
"2010","00304271","Kapitálové příjmy",695540
"2010","00304271","Nedaňové příjmy",9337730
"2010","00304387","Daňové příjmy",277455280
"2010","00304387","Kapitálové příjmy",27557400
"2010","00304387","Nedaňové příjmy",84534890
"2010","00304450","Daňové příjmy",282763450
"2010","00304450","Kapitálové příjmy",17828920
"2010","00304450","Nedaňové příjmy",49635070
"2010","00845451","Daňové příjmy",6030344020
"2010","00845451","Kapitálové příjmy",391604670
"2010","00845451","Nedaňové příjmy",1144684540
"2010","44992785","Daňové příjmy",7489353070
"2010","44992785","Kapitálové příjmy",1575942950
"2010","44992785","Nedaňové příjmy",996572170
"2011","00075370","Daňové příjmy",3395271118.79
"2011","00075370","Kapitálové příjmy",189874727.35
"2011","00075370","Nedaňové příjmy",1085130077.8
"2011","00081531","Daňové příjmy",1141285889.87
"2011","00081531","Kapitálové příjmy",91860
"2011","00081531","Nedaňové příjmy",42872825.67
"2011","00231401","Daňové příjmy",188469487.58
"2011","00231401","Kapitálové příjmy",4692020
"2011","00231401","Nedaňové příjmy",15360356.92
