,year,municipality_id,municipality_name,winner_vote_percentage,party_id,party_name,party_name_short,is_overall_winner,is_winner_in_coalition,winner_vote_percentage_adj,coalition_vote_percentage,coalition_vote_percentage_adj,is_coalition_won,is_election_year
151,2009,3112,Tábor,38.34,53,Občanská demokratická strana,ODS,1,1,46.4445790430042,50.87,61.6232586311327,1,0
152,2006,3113,Trhové Sviny,35.03,53,Občanská demokratická strana,ODS,1,1,45.4875990131152,46.4,60.2519153356707,1,1
153,2007,3113,Trhové Sviny,35.03,53,Občanská demokratická strana,ODS,1,1,45.4875990131152,46.4,60.2519153356707,1,0
154,2008,3113,Trhové Sviny,35.03,53,Občanská demokratická strana,ODS,1,1,45.4875990131152,46.4,60.2519153356707,1,0
155,2009,3113,Trhové Sviny,35.03,53,Občanská demokratická strana,ODS,1,1,45.4875990131152,46.4,60.2519153356707,1,0
156,2006,3114,Třeboň,39.45,53,Občanská demokratická strana,ODS,1,1,46.5541656832665,54.55,64.3733773896625,1,1
157,2007,3114,Třeboň,39.45,53,Občanská demokratická strana,ODS,1,1,46.5541656832665,54.55,64.3733773896625,1,0
158,2008,3114,Třeboň,39.45,53,Občanská demokratická strana,ODS,1,1,46.5541656832665,54.55,64.3733773896625,1,0
159,2009,3114,Třeboň,39.45,53,Občanská demokratická strana,ODS,1,1,46.5541656832665,54.55,64.3733773896625,1,0
160,2006,3115,Týn nad Vltavou,38.19,53,Občanská demokratická strana,ODS,1,1,48.6744838134081,49.38,62.936528167219,1,1
161,2007,3115,Týn nad Vltavou,38.19,53,Občanská demokratická strana,ODS,1,1,48.6744838134081,49.38,62.936528167219,1,0
162,2008,3115,Týn nad Vltavou,38.19,53,Občanská demokratická strana,ODS,1,1,48.6744838134081,49.38,62.936528167219,1,0
163,2009,3115,Týn nad Vltavou,38.19,53,Občanská demokratická strana,ODS,1,1,48.6744838134081,49.38,62.936528167219,1,0
164,2006,3116,Vimperk,36.75,53,Občanská demokratická strana,ODS,1,1,46.1104140526976,47.98,60.2007528230866,1,1
165,2007,3116,Vimperk,36.75,53,Občanská demokratická strana,ODS,1,1,46.1104140526976,47.98,60.2007528230866,1,0
166,2008,3116,Vimperk,36.75,53,Občanská demokratická strana,ODS,1,1,46.1104140526976,47.98,60.2007528230866,1,0
167,2009,3116,Vimperk,36.75,53,Občanská demokratická strana,ODS,1,1,46.1104140526976,47.98,60.2007528230866,1,0
168,2006,3117,Vodňany,37.87,53,Občanská demokratická strana,ODS,1,1,44.7741782927406,51.95,61.4211397493497,1,1
169,2007,3117,Vodňany,37.87,53,Občanská demokratická strana,ODS,1,1,44.7741782927406,51.95,61.4211397493497,1,0
170,2008,3117,Vodňany,37.87,53,Občanská demokratická strana,ODS,1,1,44.7741782927406,51.95,61.4211397493497,1,0
171,2009,3117,Vodňany,37.87,53,Občanská demokratická strana,ODS,1,1,44.7741782927406,51.95,61.4211397493497,1,0
172,2006,3201,Blovice,36.94,53,Občanská demokratická strana,ODS,1,1,48.3507853403141,48.9,64.0052356020942,1,1
173,2007,3201,Blovice,36.94,53,Občanská demokratická strana,ODS,1,1,48.3507853403141,48.9,64.0052356020942,1,0
174,2008,3201,Blovice,36.94,53,Občanská demokratická strana,ODS,1,1,48.3507853403141,48.9,64.0052356020942,1,0
175,2009,3201,Blovice,36.94,53,Občanská demokratická strana,ODS,1,1,48.3507853403141,48.9,64.0052356020942,1,0
176,2006,3202,Domažlice,35.34,7,Česká strana sociálně demokratická,ČSSD,0,0,43.7918215613383,45.36,56.2081784386617,1,1
177,2007,3202,Domažlice,35.34,7,Česká strana sociálně demokratická,ČSSD,0,0,43.7918215613383,45.36,56.2081784386617,1,0
178,2008,3202,Domažlice,35.34,7,Česká strana sociálně demokratická,ČSSD,0,0,43.7918215613383,45.36,56.2081784386617,1,0
179,2009,3202,Domažlice,35.34,7,Česká strana sociálně demokratická,ČSSD,0,0,43.7918215613383,45.36,56.2081784386617,1,0
180,2006,3203,Horažďovice,36.05,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8244590323365,46.21,56.1755409676635,1,1
181,2007,3203,Horažďovice,36.05,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8244590323365,46.21,56.1755409676635,1,0
182,2008,3203,Horažďovice,36.05,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8244590323365,46.21,56.1755409676635,1,0
183,2009,3203,Horažďovice,36.05,7,Česká strana sociálně demokratická,ČSSD,0,0,43.8244590323365,46.21,56.1755409676635,1,0
184,2006,3204,Horšovský Týn,35.59,53,Občanská demokratická strana,ODS,1,1,46.9710967401346,43.13,56.9222647485812,1,1
185,2007,3204,Horšovský Týn,35.59,53,Občanská demokratická strana,ODS,1,1,46.9710967401346,43.13,56.9222647485812,1,0
186,2008,3204,Horšovský Týn,35.59,53,Občanská demokratická strana,ODS,1,1,46.9710967401346,43.13,56.9222647485812,1,0
187,2009,3204,Horšovský Týn,35.59,53,Občanská demokratická strana,ODS,1,1,46.9710967401346,43.13,56.9222647485812,1,0
188,2006,3205,Klatovy,36.39,53,Občanská demokratická strana,ODS,1,1,45.3684079291859,47.49,59.2070814112953,1,1
189,2007,3205,Klatovy,36.39,53,Občanská demokratická strana,ODS,1,1,45.3684079291859,47.49,59.2070814112953,1,0
190,2008,3205,Klatovy,36.39,53,Občanská demokratická strana,ODS,1,1,45.3684079291859,47.49,59.2070814112953,1,0
191,2009,3205,Klatovy,36.39,53,Občanská demokratická strana,ODS,1,1,45.3684079291859,47.49,59.2070814112953,1,0
192,2006,3206,Kralovice,31.81,7,Česká strana sociálně demokratická,ČSSD,0,0,42.5893693934931,42.88,57.4106306065069,1,1
193,2007,3206,Kralovice,31.81,7,Česká strana sociálně demokratická,ČSSD,0,0,42.5893693934931,42.88,57.4106306065069,1,0
194,2008,3206,Kralovice,31.81,7,Česká strana sociálně demokratická,ČSSD,0,0,42.5893693934931,42.88,57.4106306065069,1,0
195,2009,3206,Kralovice,31.81,7,Česká strana sociálně demokratická,ČSSD,0,0,42.5893693934931,42.88,57.4106306065069,1,0
196,2006,3207,Nepomuk,34.07,53,Občanská demokratická strana,ODS,1,1,43.4234004588325,46.95,59.8394086158552,1,1
197,2007,3207,Nepomuk,34.07,53,Občanská demokratická strana,ODS,1,1,43.4234004588325,46.95,59.8394086158552,1,0
198,2008,3207,Nepomuk,34.07,53,Občanská demokratická strana,ODS,1,1,43.4234004588325,46.95,59.8394086158552,1,0
199,2009,3207,Nepomuk,34.07,53,Občanská demokratická strana,ODS,1,1,43.4234004588325,46.95,59.8394086158552,1,0
200,2006,3208,Nýřany,35.17,53,Občanská demokratická strana,ODS,1,1,44.888321633695,44.81,57.1920867900447,1,1
201,2007,3208,Nýřany,35.17,53,Občanská demokratická strana,ODS,1,1,44.888321633695,44.81,57.1920867900447,1,0
202,2008,3208,Nýřany,35.17,53,Občanská demokratická strana,ODS,1,1,44.888321633695,44.81,57.1920867900447,1,0
